Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
U8LP9R01M,GOODS,03 32 22.255,-27 52 53.68,3,2003-09-07 19:53:15,2003-09-07 20:09:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-08 00:55:29,U8LP9R01M,,,0.692
U8LP9R02M,GOODS,03 32 22.255,-27 52 53.68,3,2003-09-07 20:12:15,2003-09-07 20:20:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-08 00:58:08,U8LP9R02M,,,0.692
U8LPAG01M,GOODS,03 32 22.737,-27 51 58.65,3,2003-09-13 19:52:15,2003-09-13 20:08:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-14 03:17:47,U8LPAG01M,,,0.697
U8LPAG02M,GOODS,03 32 22.737,-27 51 58.65,3,2003-09-13 20:11:15,2003-09-13 20:22:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-14 03:19:58,U8LPAG02M,,,0.697
O8KE5SMFQ,NONE,03 32 22.737,-27 51 58.65,1,2003-09-13 20:43:25,2003-09-13 20:43:25,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 03:12:08,,,,0.697
O8KE5SMGQ,NONE,03 32 22.737,-27 51 58.65,1,2003-09-13 20:44:48,2003-09-13 20:44:48,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 03:12:28,,,,0.697
O8KE5SMHQ,NONE,03 32 22.737,-27 51 58.65,1,2003-09-13 20:46:14,2003-09-13 20:46:14,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 03:12:59,,,,0.697
O8KE5SMIQ,NONE,03 32 22.737,-27 51 58.65,1,2003-09-13 20:47:37,2003-09-13 20:47:37,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 03:12:59,,,,0.697
O8KE5SMJQ,NONE,03 32 22.737,-27 51 58.65,1,2003-09-13 20:49:03,2003-09-13 20:49:03,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 03:12:59,,,,0.697
O8KE5SMKQ,NONE,03 32 22.737,-27 51 58.65,1,2003-09-13 20:52:31,2003-09-13 20:52:31,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 03:12:59,,,,0.697
O8KE5SMLQ,NONE,03 32 22.737,-27 51 58.65,1,2003-09-13 20:53:53,2003-09-13 20:53:53,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 03:13:30,,,,0.697
O8KE5SMNQ,NONE,03 32 22.737,-27 51 58.65,1,2003-09-13 20:58:18,2003-09-13 20:58:18,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 03:14:00,,,,0.697
O8KE5SMOQ,NONE,03 32 22.737,-27 51 58.65,1,2003-09-13 20:59:41,2003-09-13 20:59:41,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 03:14:00,,,,0.697
O8KE5SMPQ,NONE,03 32 22.737,-27 51 58.65,1,2003-09-13 21:01:07,2003-09-13 21:01:07,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 03:14:01,,,,0.697
N96027UCQ,WFPCUDF1-1,03 32 20.028,-27 51 40.44,11,2005-02-27 14:52:06,2005-02-27 15:02:46,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:16:54,N96027UCQ,,,0.707
N96027UEQ,WFPCUDF1-1,03 32 20.028,-27 51 40.44,11,2005-02-27 15:03:08,2005-02-27 15:13:48,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:17:21,N96027UEQ,,,0.707
O8JM4T010,BIAS,03 32 21.908,-27 51 45.58,0,2003-09-05 01:26:58,2003-09-05 01:39:29,0.000,STIS  ,F28X50LP,MIRVIS,0.000,9608,2003-09-05 04:50:35,,,,0.731
O8JM4T020,BIAS,03 32 21.908,-27 51 45.58,0,2003-09-05 01:43:12,2003-09-05 01:44:40,0.000,STIS  ,F28X50LP,MIRVIS,0.000,9608,2003-09-05 04:51:05,,,,0.731
O8JM4T030,BIAS,03 32 21.908,-27 51 45.58,0,2003-09-05 01:45:24,2003-09-05 01:45:59,0.000,STIS  ,F28X50LP,MIRVIS,0.000,9608,2003-09-05 04:51:05,,,,0.731
O8JM4T040,BIAS,03 32 21.908,-27 51 45.58,0,2003-09-05 01:46:34,2003-09-05 01:47:05,0.000,STIS  ,F28X50LP,MIRVIS,0.000,9608,2003-09-05 04:51:05,,,,0.731
O8JM4T050,BIAS,03 32 21.908,-27 51 45.58,0,2003-09-05 01:47:36,2003-09-05 01:48:02,0.000,STIS  ,F28X50LP,MIRVIS,0.000,9608,2003-09-05 04:51:06,,,,0.731
U8H08M01M,DARK,03 32 21.908,-27 51 45.58,0,2003-09-05 01:19:15,2003-09-05 01:35:55,1000.000,WFPC2 ,WFALL,F1042M;F437N,-1.000,9595,2003-09-05 04:29:21,U8H08M01M,,,0.731
U8H08N01M,DARK,03 32 21.908,-27 51 45.58,0,2003-09-05 01:41:15,2003-09-05 01:57:55,1000.000,WFPC2 ,WFALL,F1042M;F437N,-1.000,9595,2003-09-05 05:00:33,U8H08N01M,,,0.731
U8ITZR01M,GOODS,03 32 21.908,-27 51 45.58,6,2003-09-05 00:39:15,2003-09-05 00:55:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-05 04:25:35,U8ITZR01M,,,0.731
U8ITZR02M,GOODS,03 32 21.908,-27 51 45.58,6,2003-09-05 00:58:15,2003-09-05 01:09:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-05 04:27:17,U8ITZR02M,,,0.731
IBEVETE0Q,GOODS-SD3-VET,03 32 17.733,-27 51 52.89,77,2011-07-29 20:31:08,2011-07-29 20:39:31,502.936,WFC3  ,IR-FIX,F125W,12486.060,12062,2011-07-30 01:18:53,IBEVETE0Q,,29,0.732
N96026TUQ,WFPCUDF1-1,03 32 21.369,-27 51 41.72,11,2005-02-27 11:18:06,2005-02-27 11:28:46,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:12:14,N96026TUQ,,,0.735
N96026TWQ,WFPCUDF1-1,03 32 21.369,-27 51 41.72,11,2005-02-27 11:29:09,2005-02-27 11:39:49,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:12:55,N96026TWQ,,,0.735
IBEVETDPQ,GOODS-SD3-VET,03 32 17.764,-27 51 52.12,77,2011-07-29 20:02:53,2011-07-29 20:11:16,502.934,WFC3  ,IR-FIX,F125W,12486.060,12062,2011-07-30 00:47:21,IBEVETDPQ,,29,0.736
IBEVETE3Q,GOODS-SD3-VET,03 32 17.730,-27 51 52.35,77,2011-07-29 20:41:33,2011-07-29 20:48:47,434.000,WFC3  ,UVIS-CENTER,F350LP,5859.400,12062,2011-07-30 01:19:30,IBEVETE3Q,,,0.739
O8IW37010,BIAS,03 32 17.941,-27 51 49.27,1,2003-09-02 18:00:43,2003-09-02 18:02:11,0.000,STIS  ,F28X50LP,MIRVIS,0.000,9612,2003-09-03 08:12:10,,,,0.744
O8IW37QYQ,BIAS,03 32 17.941,-27 51 49.27,1,2003-09-02 17:59:59,2003-09-02 17:59:59,0.000,STIS  ,F28X50LP,MIRVIS,0.000,9612,2003-09-03 08:11:10,,,,0.744
O8IW37020,DARK,03 32 17.941,-27 51 49.27,1,2003-09-02 18:02:55,2003-09-02 19:45:51,6000.000,STIS  ,F28X50LP,MIRVIS,0.000,9612,2003-09-03 08:13:41,O8IW37020,,,0.744
U8ITZI01M,GOODS,03 32 17.941,-27 51 49.27,6,2003-09-02 18:20:15,2003-09-02 18:36:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-03 08:18:05,U8ITZI01M,,,0.744
U8ITZI02M,GOODS,03 32 17.941,-27 51 49.27,6,2003-09-02 18:39:15,2003-09-02 18:47:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-03 08:20:15,U8ITZI02M,,,0.744
U8LPA401M,GOODS,03 32 22.737,-27 51 54.03,3,2003-09-10 16:40:15,2003-09-10 16:56:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 19:54:15,U8LPA401M,,,0.745
U8LPA402M,GOODS,03 32 22.737,-27 51 54.03,3,2003-09-10 16:59:15,2003-09-10 17:10:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-11 06:55:44,U8LPA402M,,,0.745
IBEVET020,GOODS-SD3-VET,03 32 17.736,-27 51 51.65,77,2011-07-29 20:12:18,2011-07-29 20:30:06,1005.868,WFC3  ,IR-FIX,F160W,15369.176,12062,2011-07-30 01:20:04,IBEVET020,,24,0.746
IBLS2QDNQ,DARK,03 32 17.763,-27 51 50.87,0,2011-07-29 19:43:00,2011-07-29 19:50:33,452.936,WFC3  ,IR,BLANK,0.000,12380,2011-07-30 00:45:10,IBLS2QDNQ,,,0.751
U8LPA901M,GOODS,03 32 22.255,-27 52 58.30,3,2003-09-11 18:07:15,2003-09-11 18:23:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-12 16:56:30,U8LPA901M,,,0.751
U8LPA902M,GOODS,03 32 22.255,-27 52 58.30,3,2003-09-11 18:29:15,2003-09-11 18:42:35,800.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-12 16:57:12,U8LPA902M,,,0.751
N96028UOQ,WFPCUDF1-1,03 32 20.286,-27 51 37.06,11,2005-02-27 17:41:49,2005-02-27 17:52:29,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:19:26,N96028UOQ,,,0.763
N96028UQQ,WFPCUDF1-1,03 32 20.286,-27 51 37.06,11,2005-02-27 17:52:52,2005-02-27 18:03:32,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:19:57,N96028UQQ,,,0.763
N96026TXQ,WFPCUDF1-1,03 32 21.475,-27 51 40.35,11,2005-02-27 11:40:15,2005-02-27 11:50:55,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:13:17,N96026TXQ,,,0.765
N96026TZQ,WFPCUDF1-1,03 32 21.475,-27 51 40.35,11,2005-02-27 11:51:17,2005-02-27 12:01:57,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:13:43,N96026TZQ,,,0.765
U8LKY601M,ANY,03 32 23.066,-27 52 48.27,2,2003-09-02 21:18:15,2003-09-02 21:24:55,400.000,WFPC2 ,WFALL,F606W,5997.000,9710,2004-09-03 08:23:18,U8LKY601M,,,0.770
U8LKY602M,ANY,03 32 23.066,-27 52 48.27,2,2003-09-02 21:34:15,2003-09-02 21:50:55,1000.000,WFPC2 ,WFALL,F300W,2987.000,9710,2004-09-03 09:53:36,U8LKY602M,,,0.770
O8J31DSLQ,DARK,03 32 23.066,-27 52 48.27,0,2003-09-02 22:05:42,2003-09-02 22:28:42,1380.000,STIS  ,F28X50LP,MIRVIS,0.000,9615,2003-09-03 09:44:08,,,,0.770
U8LP9L01M,GOODS,03 32 17.130,-27 51 59.30,3,2003-09-11 14:56:15,2003-09-11 15:12:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-12 16:36:51,U8LP9L01M,,,0.776
U8LP9L02M,GOODS,03 32 17.130,-27 51 59.30,3,2003-09-11 15:15:15,2003-09-11 15:31:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-12 16:38:01,U8LP9L02M,,,0.776
N626VX020,POST-SAA-DARK,03 32 17.141,-27 52 47.78,1,2003-02-05 19:23:31,2003-02-05 19:32:04,486.718,NICMOS,NIC2-FIX,BLANK,0.000,8790,2003-02-06 00:16:30,N626VX020,,,0.786
N96028URQ,WFPCUDF1-1,03 32 20.392,-27 51 35.67,11,2005-02-27 18:03:58,2005-02-27 18:14:38,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:20:32,N96028URQ,,,0.787
N96028UTQ,WFPCUDF1-1,03 32 20.392,-27 51 35.67,11,2005-02-27 18:15:00,2005-02-27 18:25:40,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:20:37,N96028UTQ,,,0.787
O8JL9RE1Q,DARK,03 32 22.727,-27 51 49.41,0,2003-09-06 23:59:57,2003-09-07 00:18:17,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-07 03:24:16,O8JL9RE1Q,,,0.795
O8JL9RE2Q,DARK,03 32 22.727,-27 51 49.41,0,2003-09-07 00:19:01,2003-09-07 00:20:01,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-07 03:24:16,O8JL9RE2Q,,,0.795
O8JL9RE3Q,DARK,03 32 22.727,-27 51 49.41,0,2003-09-07 00:20:45,2003-09-07 00:21:45,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-07 03:24:17,O8JL9RE3Q,,,0.795
U8H08T01M,DARK,03 32 22.727,-27 51 49.41,0,2003-09-07 00:02:15,2003-09-07 00:18:55,1000.000,WFPC2 ,WFALL,F1042M;F437N,-1.000,9595,2003-09-07 03:29:38,U8H08T01M,,,0.795
U8ITZX01M,GOODS,03 32 22.727,-27 51 49.41,6,2003-09-06 23:03:15,2003-09-06 23:19:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-07 03:28:20,U8ITZX01M,,,0.795
U8ITZX02M,GOODS,03 32 22.727,-27 51 49.41,6,2003-09-06 23:22:15,2003-09-06 23:33:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-07 03:29:04,U8ITZX02M,,,0.795
O8JL9DEWQ,DARK,03 32 21.898,-27 51 40.96,0,2003-08-31 03:02:16,2003-08-31 03:20:36,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-08-31 10:08:07,O8JL9DEWQ,,,0.796
O8JL9DEXQ,DARK,03 32 21.898,-27 51 40.96,0,2003-08-31 03:21:20,2003-08-31 03:22:20,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-08-31 10:10:09,O8JL9DEXQ,,,0.796
O8JL9DEYQ,DARK,03 32 21.898,-27 51 40.96,0,2003-08-31 03:23:04,2003-08-31 03:24:04,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-08-31 10:12:42,O8JL9DEYQ,,,0.796
U8H08801M,DARK,03 32 21.898,-27 51 40.96,0,2003-08-31 01:42:15,2003-08-31 01:58:55,1000.000,WFPC2 ,WFALL,F1042M;F437N,-1.000,9595,2003-08-31 09:57:25,U8H08801M,,,0.796
U8ITZB01M,GOODS,03 32 21.898,-27 51 40.96,6,2003-08-31 02:16:15,2003-08-31 02:32:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-08-31 09:59:13,U8ITZB01M,,,0.796
U8ITZB02M,GOODS,03 32 21.898,-27 51 40.96,6,2003-08-31 02:35:15,2003-08-31 02:43:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-08-31 09:59:52,U8ITZB02M,,,0.796
IBEVFLF0Q,GOODS-SD5-VFL,03 32 17.078,-27 52 48.40,77,2011-11-03 16:06:29,2011-11-03 16:14:52,502.934,WFC3  ,IR-FIX,F160W,15369.176,12062,2011-11-03 18:00:19,IBEVFLF0Q,,40,0.804
IBLB5P011,BIAS,03 32 17.354,-27 51 51.92,0,2011-03-05 01:19:27,2011-03-05 01:21:34,0.000,WFC3  ,UVIS,F350LP,0.000,12342,2011-03-05 19:46:18,IBLB5P011,,,0.806
IBLB5PPHQ,DARK,03 32 17.354,-27 51 51.92,0,2011-03-05 01:23:46,2011-03-05 01:38:46,900.000,WFC3  ,UVIS,F350LP,0.000,12342,2011-03-05 11:59:17,IBLB5PPHQ,,,0.806
OBN26YP9Q,DARK,03 32 17.354,-27 51 51.92,0,2011-03-05 00:56:42,2011-03-05 01:15:02,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,12400,2011-03-05 11:47:24,OBN26YP9Q,,,0.806
OBN26YPAQ,DARK,03 32 17.354,-27 51 51.92,0,2011-03-05 01:15:46,2011-03-05 01:16:46,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12400,2011-03-05 11:47:30,OBN26YPAQ,,,0.806
OBN26YPBQ,DARK,03 32 17.354,-27 51 51.92,0,2011-03-05 01:17:30,2011-03-05 01:18:30,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12400,2011-03-05 11:47:36,OBN26YPBQ,,,0.806
IBEUHC030,GOODS-SDW-VHC,03 32 17.380,-27 51 51.38,86,2011-03-05 00:26:22,2011-03-05 00:44:10,1005.868,WFC3  ,IR-FIX,F125W,12486.060,12061,2011-03-05 12:01:43,IBEUHC030,,24,0.807
IBEUHCP6Q,GOODS-SDW-VHC,03 32 17.405,-27 51 50.80,86,2011-03-05 00:55:36,2011-03-05 01:02:50,434.000,WFC3  ,UVIS-IR-FIX,F350LP,5859.400,12061,2011-03-05 12:08:13,IBEUHCP6Q,,,0.809
IBEVFLF4Q,GOODS-SD5-VFL,03 32 17.019,-27 52 47.98,77,2011-11-03 16:15:54,2011-11-03 16:25:07,552.937,WFC3  ,IR-FIX,F160W,15369.176,12062,2011-11-03 20:20:18,IBEVFLF4Q,,40,0.811
OBN26XOOQ,DARK,03 32 17.318,-27 51 51.91,0,2011-03-05 00:19:11,2011-03-05 00:20:11,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12400,2011-03-05 10:06:23,OBN26XOOQ,,,0.812
OBN26XOPQ,DARK,03 32 17.318,-27 51 51.91,0,2011-03-05 00:20:55,2011-03-05 00:21:55,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12400,2011-03-05 10:06:29,OBN26XOPQ,,,0.812
IBLD50OMQ,TUNGSTEN,03 32 17.318,-27 51 51.91,0,2011-03-05 00:05:38,2011-03-05 00:05:39,1.000,WFC3  ,UVIS,F475X,0.000,12344,2011-03-05 09:57:16,IBLD50OMQ,,,0.812
IBEVFLFBQ,GOODS-SD5-VFL,03 32 17.024,-27 52 48.33,77,2011-11-03 16:36:34,2011-11-03 16:43:48,434.000,WFC3  ,UVIS-CENTER,F350LP,5859.400,12062,2011-11-03 20:21:21,IBEVFLFBQ,,,0.813
IBEVFLEXQ,GOODS-SD5-VFL,03 32 17.042,-27 52 48.79,77,2011-11-03 15:57:04,2011-11-03 16:05:27,502.934,WFC3  ,IR-FIX,F125W,12486.060,12062,2011-11-03 17:59:19,IBEVFLEXQ,,39,0.814
U8ITZV01M,GOODS,03 32 23.065,-27 52 52.89,6,2003-09-06 19:53:15,2003-09-06 20:09:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-07 00:24:03,U8ITZV01M,,,0.815
U8ITZV02M,GOODS,03 32 23.065,-27 52 52.89,6,2003-09-06 20:12:15,2003-09-06 20:20:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-07 00:25:44,U8ITZV02M,,,0.815
IBEUHC020,GOODS-SDW-VHC,03 32 17.369,-27 51 50.79,86,2011-03-05 00:15:17,2011-03-05 00:53:35,1105.868,WFC3  ,IR-FIX,F160W,15369.176,12061,2011-03-05 11:59:10,IBEUHC020,,24,0.815
U8LP9P01M,GOODS,03 32 17.130,-27 51 54.68,3,2003-09-07 16:42:15,2003-09-07 16:58:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-07 22:34:08,U8LP9P01M,,,0.817
U8LP9P02M,GOODS,03 32 17.130,-27 51 54.68,3,2003-09-07 17:01:15,2003-09-07 17:12:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-07 22:34:48,U8LP9P02M,,,0.817
U8LPAK01M,GOODS,03 32 17.130,-27 51 54.68,3,2003-09-07 16:31:15,2003-09-07 16:35:35,260.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-07 22:33:23,U8LPAK01M,,,0.817
IBEVFLF8Q,GOODS-SD5-VFL,03 32 16.984,-27 52 48.37,77,2011-11-03 16:26:09,2011-11-03 16:34:32,502.936,WFC3  ,IR-FIX,F125W,12486.060,12062,2011-11-03 20:20:47,IBEVFLF8Q,,39,0.821
N626VX030,POST-SAA-DARK,03 32 20.030,-27 51 33.23,1,2003-02-05 19:23:32,2003-02-05 19:32:05,486.718,NICMOS,NIC3-FIX,BLANK,0.000,8790,2003-02-06 00:16:34,N626VX030,,,0.827
JBEVG6010,GOODS-SD5,03 32 16.399,-27 52 25.44,77,2011-11-04 12:42:58,2011-11-04 13:27:27,1986.000,ACS   ,WFC,CLEAR1L;F814W,8044.990,12062,2011-11-04 15:42:19,JBEVG6010,,50,0.832
N96027UJQ,WFPCUDF1-1,03 32 20.644,-27 51 32.22,11,2005-02-27 16:21:50,2005-02-27 16:32:30,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:18:30,N96027UJQ,,,0.850
N96027ULQ,WFPCUDF1-1,03 32 20.644,-27 51 32.22,11,2005-02-27 16:32:52,2005-02-27 16:43:32,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:18:55,N96027ULQ,,,0.850
U8LKXG01M,ANY,03 32 22.728,-27 51 44.79,2,2003-09-03 19:42:15,2003-09-03 19:50:35,500.000,WFPC2 ,WFALL,F606W,5997.000,9710,2004-09-04 03:49:41,U8LKXG01M,,,0.850
U8LKXG02M,ANY,03 32 22.728,-27 51 44.79,2,2003-09-03 19:54:15,2003-09-03 20:20:55,1600.000,WFPC2 ,WFALL,F300W,2987.000,9710,2004-09-04 03:51:19,U8LKXG02M,,,0.850
O8IW39010,BIAS,03 32 22.728,-27 51 44.79,1,2003-09-03 19:50:09,2003-09-03 19:51:37,0.000,STIS  ,F28X50LP,MIRVIS,0.000,9612,2003-09-04 03:40:17,,,,0.850
O8IW39C8Q,BIAS,03 32 22.728,-27 51 44.79,1,2003-09-03 19:49:25,2003-09-03 19:49:25,0.000,STIS  ,F28X50LP,MIRVIS,0.000,9612,2003-09-04 03:38:16,,,,0.850
O8IW39020,DARK,03 32 22.728,-27 51 44.79,1,2003-09-03 19:52:21,2003-09-03 21:35:17,6000.000,STIS  ,F28X50LP,MIRVIS,0.000,9612,2003-09-04 03:40:48,O8IW39020,,,0.850
N62B21030,POST-SAA-DARK,03 32 20.572,-27 51 31.89,0,2007-09-25 12:28:27,2007-09-25 12:37:00,486.718,NICMOS,NIC3-FIX,BLANK,0.000,8795,2007-09-26 15:29:36,N62B21030,,,0.853
JBEUIX010,ANY,03 32 16.365,-27 52 11.93,86,2011-01-11 05:34:51,2011-01-11 07:05:19,1986.000,ACS   ,WFC,CLEAR1L;F814W,8044.989,12061,2011-01-11 15:06:02,JBEUIX010,,50,0.858
U8ITZN01M,GOODS,03 32 17.121,-27 51 50.06,6,2003-09-04 18:18:15,2003-09-04 18:34:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-04 23:46:37,U8ITZN01M,,,0.865
U8ITZN02M,GOODS,03 32 17.121,-27 51 50.06,6,2003-09-04 18:37:15,2003-09-04 18:48:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-04 23:47:57,U8ITZN02M,,,0.865
U8LP9F01M,GOODS,03 32 17.121,-27 51 50.06,3,2003-09-04 18:07:15,2003-09-04 18:11:35,260.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-04 23:44:52,U8LP9F01M,,,0.865
J8JEKEW7Q,BIAS,03 32 23.075,-27 52 57.51,0,2003-09-10 00:10:29,2003-09-10 00:10:20,0.000,ACS   ,WFC,F502N;F660N,0.000,9675,2003-09-10 04:25:40,,,,0.866
J8JEKEW8Q,BIAS,03 32 23.075,-27 52 57.51,0,2003-09-10 00:16:43,2003-09-10 00:16:42,0.000,ACS   ,HRC,F775W;F330W,0.000,9675,2003-09-10 04:25:40,,,,0.866
O8JL9YW3Q,DARK,03 32 23.075,-27 52 57.51,0,2003-09-09 23:59:58,2003-09-10 00:18:18,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-10 04:10:10,O8JL9YW3Q,,,0.866
O8JL9YW4Q,DARK,03 32 23.075,-27 52 57.51,0,2003-09-10 00:19:02,2003-09-10 00:20:02,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-10 04:10:42,O8JL9YW4Q,,,0.866
O8JL9YW5Q,DARK,03 32 23.075,-27 52 57.51,0,2003-09-10 00:20:46,2003-09-10 00:21:46,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-10 04:10:42,O8JL9YW5Q,,,0.866
U8LPA201M,GOODS,03 32 23.075,-27 52 57.51,3,2003-09-09 23:06:15,2003-09-09 23:22:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 04:11:34,U8LPA201M,,,0.866
U8LPA202M,GOODS,03 32 23.075,-27 52 57.51,3,2003-09-09 23:25:15,2003-09-09 23:33:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 04:12:46,U8LPA202M,,,0.866
N96027UFQ,WFPCUDF1-1,03 32 20.750,-27 51 30.83,11,2005-02-27 15:59:41,2005-02-27 16:10:21,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:17:52,N96027UFQ,,,0.876
N96027UHQ,WFPCUDF1-1,03 32 20.750,-27 51 30.83,11,2005-02-27 16:10:44,2005-02-27 16:21:24,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:18:23,N96027UHQ,,,0.876
N6287C010,POST-SAA-DARK,03 32 16.333,-27 52 39.97,0,2005-02-27 10:49:10,2005-02-27 10:57:43,486.718,NICMOS,NIC1-FIX,BLANK,0.000,8792,2005-02-28 00:12:19,N6287C010,,,0.893
IBLB1X011,BIAS,03 32 23.449,-27 51 51.60,0,2011-01-16 02:58:48,2011-01-16 03:00:54,0.000,WFC3  ,UVIS,F475X,0.000,12342,2011-01-16 08:33:55,IBLB1X011,,,0.894
IBLB1XRPQ,DARK,03 32 23.449,-27 51 51.60,0,2011-01-16 03:03:07,2011-01-16 03:18:07,900.000,WFC3  ,UVIS,F475X,0.000,12342,2011-01-16 09:45:03,IBLB1XRPQ,,,0.894
IBLS88RSQ,DARK,03 32 23.449,-27 51 51.60,0,2011-01-16 03:28:24,2011-01-16 03:35:57,452.936,WFC3  ,IR,BLANK,0.000,12380,2011-01-16 09:48:21,IBLS88RSQ,,,0.894
U8LPAF01M,GOODS,03 32 20.175,-27 51 29.15,3,2003-09-13 18:20:15,2003-09-13 18:36:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-14 01:58:52,U8LPAF01M,,,0.894
U8LPAF02M,GOODS,03 32 20.175,-27 51 29.15,3,2003-09-13 18:39:15,2003-09-13 18:50:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-14 02:00:01,U8LPAF02M,,,0.894
U8LPAT01M,GOODS,03 32 20.175,-27 51 29.15,3,2003-09-13 18:09:15,2003-09-13 18:13:35,260.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-14 01:57:14,U8LPAT01M,,,0.894
O8KE5RLKQ,NONE,03 32 20.175,-27 51 29.15,1,2003-09-13 19:09:18,2003-09-13 19:09:18,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:50:29,,,,0.894
