Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
J8E690010,CDF-SOUTH-GOODS-TILE-NORM2-12,03 32 21.522,-27 52 23.29,548,2003-02-04 07:42:08,2003-02-04 08:02:05,1040.000,ACS   ,WFCENTER,F606W;CLEAR2L,5919.333,9425,2003-02-04 18:55:52,J8E690010,,42,0.301
J8E690030,CDF-SOUTH-GOODS-TILE-NORM2-12,03 32 21.522,-27 52 23.29,548,2003-02-04 08:05:20,2003-02-04 08:25:17,1040.000,ACS   ,WFCENTER,F775W;CLEAR2L,7693.400,9425,2003-02-04 19:10:07,J8E690030,,42,0.301
J8E690050,CDF-SOUTH-GOODS-TILE-NORM2-12,03 32 21.522,-27 52 23.29,548,2003-02-04 09:14:42,2003-02-04 09:57:51,2120.000,ACS   ,WFCENTER,F850LP;CLEAR2L,9036.440,9425,2003-02-04 20:47:56,J8E690050,,42,0.301
JBEV9D010,GOODS-SD5,03 32 20.160,-27 52 41.25,77,2011-09-12 12:11:33,2011-09-12 13:58:57,1936.000,ACS   ,WFC,CLEAR1L;F814W,8044.990,12062,2011-09-12 16:09:07,JBEV9D010,,44,0.308
N6287C030,POST-SAA-DARK,03 32 19.199,-27 52 07.65,0,2005-02-27 10:49:12,2005-02-27 10:57:45,486.718,NICMOS,NIC3-FIX,BLANK,0.000,8792,2005-02-28 00:13:01,N6287C030,,,0.330
J92QJ7010,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,29,2004-09-16 16:13:19,2004-09-16 17:37:39,1600.000,ACS   ,WFCENTER,F850LP;CLEAR2L,9036.469,10340,2004-09-16 18:01:05,J92QJ7010,,16,0.348
J92QJ7V2Q,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,29,2004-09-16 16:03:57,2004-09-16 16:10:38,400.000,ACS   ,WFCENTER,F775W;CLEAR2L,7693.629,10340,2004-09-16 17:58:35,J92QJ7V2Q,,16,0.348
J92QL7010,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,29,2004-12-16 10:40:02,2004-12-16 12:08:26,1480.000,ACS   ,WFCENTER,F850LP;CLEAR2L,9036.473,10340,2004-12-16 14:37:03,J92QL7010,,16,0.348
J92QL7VNQ,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,29,2004-12-16 10:25:12,2004-12-16 10:28:23,190.000,ACS   ,WFCENTER,F606W;CLEAR2L,5919.256,10340,2004-12-16 14:24:07,J92QL7VNQ,,16,0.348
J92QL7VPQ,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,29,2004-12-16 10:31:20,2004-12-16 10:37:21,360.000,ACS   ,WFCENTER,F775W;CLEAR2L,7693.665,10340,2004-12-16 14:29:59,J92QL7VPQ,,16,0.348
J8E638010,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,548,2002-09-19 10:43:37,2002-09-19 11:03:54,1040.000,ACS   ,WFCENTER,F606W;CLEAR2L,5919.349,9425,2002-09-19 18:08:19,J8E638010,,36,0.348
J8E638030,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,548,2002-09-19 11:07:29,2002-09-19 12:21:14,1040.000,ACS   ,WFCENTER,F775W;CLEAR2L,7693.347,9425,2002-09-19 18:33:19,J8E638030,,36,0.348
J8E638050,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,548,2002-09-19 12:24:35,2002-09-19 14:09:23,2120.000,ACS   ,WFCENTER,F850LP;CLEAR2L,9036.435,9425,2002-09-20 01:23:18,J8E638050,,36,0.348
J8E669010,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,548,2002-12-20 07:20:08,2002-12-20 08:26:17,1040.000,ACS   ,WFCENTER,F606W;CLEAR2L,5919.338,9425,2002-12-20 19:21:05,J8E669010,,36,0.348
J8E669030,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,548,2002-12-20 08:29:31,2002-12-20 08:49:29,1040.000,ACS   ,WFCENTER,F775W;CLEAR2L,7693.382,9425,2002-12-20 19:44:54,J8E669030,,36,0.348
J8E669050,CDF-SOUTH-GOODS-TILE-TILT-7,03 32 21.070,-27 52 39.81,548,2002-12-20 08:52:29,2002-12-20 10:25:21,2120.000,ACS   ,WFCENTER,F850LP;CLEAR2L,9036.439,9425,2002-12-20 20:40:27,J8E669050,,36,0.348
J91H02JKQ,ANY,03 32 18.931,-27 52 06.87,7,2005-08-14 20:34:19,2005-08-14 20:47:25,785.000,ACS   ,WFC,F850LP;CLEAR2L,9036.484,10258,2006-08-15 01:47:16,J91H02JKQ,,10,0.380
J91H02JVQ,ANY,03 32 18.731,-27 52 08.25,7,2005-08-14 21:39:13,2005-08-14 21:51:51,757.000,ACS   ,WFC,F606W;CLEAR2L,5919.229,10258,2006-08-15 01:47:23,J91H02JVQ,,10,0.398
J91H02JHQ,ANY,03 32 18.827,-27 52 04.21,7,2005-08-14 20:19:01,2005-08-14 20:31:40,758.000,ACS   ,WFC,F850LP;CLEAR2L,9036.484,10258,2006-08-15 01:47:10,J91H02JHQ,,10,0.428
J91H02J2Q,ANY,03 32 18.626,-27 52 05.59,7,2005-08-14 18:44:06,2005-08-14 18:55:52,705.000,ACS   ,WFC,F850LP;CLEAR2L,9036.484,10258,2006-08-15 01:25:49,J91H02J2Q,,10,0.444
IBEV8REVQ,GOODS-SD5-V8R,03 32 21.543,-27 52 42.29,77,2011-09-12 18:31:48,2011-09-12 18:41:01,552.937,WFC3  ,IR-FIX,F160W,15369.176,12062,2011-09-12 21:52:10,IBEV8REVQ,,42,0.446
N626VX010,POST-SAA-DARK,03 32 18.174,-27 52 16.63,1,2003-02-05 19:23:30,2003-02-05 19:32:03,486.718,NICMOS,NIC1-FIX,BLANK,0.000,8790,2003-02-06 00:15:10,N626VX010,,,0.451
IBEV8RF2Q,GOODS-SD5-V8R,03 32 21.565,-27 52 42.49,77,2011-09-12 18:52:28,2011-09-12 18:59:42,434.000,WFC3  ,UVIS-CENTER,F350LP,5859.400,12062,2011-09-12 21:52:47,IBEV8RF2Q,,,0.452
IBEV8RERQ,GOODS-SD5-V8R,03 32 21.607,-27 52 42.04,77,2011-09-12 18:22:23,2011-09-12 18:30:46,502.934,WFC3  ,IR-FIX,F160W,15369.176,12062,2011-09-12 21:50:50,IBEV8RERQ,,42,0.453
IBEV8R020,GOODS-SD5-V8R,03 32 21.602,-27 52 42.64,77,2011-09-12 18:12:58,2011-09-12 18:50:26,1005.868,WFC3  ,IR-FIX,F125W,12486.060,12062,2011-09-12 21:53:20,IBEV8R020,,36,0.459
IBLS7WU7Q,DARK,03 32 18.893,-27 51 59.94,0,2012-02-16 08:48:21,2012-02-16 08:55:54,452.936,WFC3  ,IR,BLANK,0.000,12380,2012-02-16 10:11:34,IBLS7WU7Q,,,0.473
