"Target Name","FILTER2","MDRIZSKY","SUNANGLE","DATE-OBS","TIME-OBS","EXPTIME","PHOTPLAM","PHOTBW","GLOBRATE","Data Start Time","Data End Time","Central Wavelength"
"SN2005CZ","CLEAR2L","10.82640743255615","94.507614","2006-11-11 02:13:52","2006-11-11 02:13:52","375","5360.77","360.08734"," ","2006-11-11 02:13:52","2006-11-11 02:20:07","5360.77"
"SN2005CZ","CLEAR2L","10.82640743255615","94.507614","2006-11-11 02:13:52","2006-11-11 02:13:52","375","5360.77","360.08734"," ","2006-11-11 02:13:52","2006-11-11 02:20:07","5360.77"
"SN2005CZ","CLEAR2L","16.18120574951172","94.522758","2006-11-11 03:04:38","2006-11-11 03:04:38","375","5360.77","360.08734"," ","2006-11-11 03:04:38","2006-11-11 03:10:53","5360.77"
"SN2005CZ","CLEAR2L","16.18120574951172","94.522758","2006-11-11 03:04:38","2006-11-11 03:04:38","375","5360.77","360.08734"," ","2006-11-11 03:04:38","2006-11-11 03:10:53","5360.77"
"SN2005CZ","CLEAR2L","14.18654441833496","94.525307","2006-11-11 03:13:09","2006-11-11 03:13:09","375","5360.77","360.08734"," ","2006-11-11 03:13:09","2006-11-11 03:19:24","5360.77"
"SN2005CZ","CLEAR2L","14.18654441833496","94.525307","2006-11-11 03:13:09","2006-11-11 03:13:09","375","5360.77","360.08734"," ","2006-11-11 03:13:09","2006-11-11 03:19:24","5360.77"
"SN2005CZ","F814W","26.49801635742188","94.52797700000001","2006-11-11 03:22:39","2006-11-11 03:22:39","400","8044.9272","653.08057"," ","2006-11-11 03:22:39","2006-11-11 03:29:19","8044.9272"
"SN2005CZ","F814W","26.49801635742188","94.52797700000001","2006-11-11 03:22:39","2006-11-11 03:22:39","400","8044.9272","653.08057"," ","2006-11-11 03:22:39","2006-11-11 03:29:19","8044.9272"
"SN2005CZ","F814W","25.49736404418945","94.530838","2006-11-11 03:31:35","2006-11-11 03:31:35","400","8044.9272","653.08057"," ","2006-11-11 03:31:35","2006-11-11 03:38:15","8044.9272"
"SN2005CZ","F814W","25.49736404418945","94.530838","2006-11-11 03:31:35","2006-11-11 03:31:35","400","8044.9272","653.08057"," ","2006-11-11 03:31:35","2006-11-11 03:38:15","8044.9272"
"SN2005CZ","F814W","23.38115882873535","94.533585","2006-11-11 03:40:51","2006-11-11 03:40:51","400","8044.9272","653.08057"," ","2006-11-11 03:40:51","2006-11-11 03:47:31","8044.9272"
"SN2005CZ","F814W","23.38115882873535","94.533585","2006-11-11 03:40:51","2006-11-11 03:40:51","400","8044.9272","653.08057"," ","2006-11-11 03:40:51","2006-11-11 03:47:31","8044.9272"
"SN2005CZ","F814W","22.94004821777344","94.536247","2006-11-11 03:49:47","2006-11-11 03:49:47","400","8044.9272","653.08057"," ","2006-11-11 03:49:47","2006-11-11 03:56:27","8044.9272"
"SN2005CZ","F814W","22.94004821777344","94.536247","2006-11-11 03:49:47","2006-11-11 03:49:47","400","8044.9272","653.08057"," ","2006-11-11 03:49:47","2006-11-11 03:56:27","8044.9272"
"SN2005CZ","F814W","26.49801635742188","94.52797700000001","2006-11-11 03:22:39","2006-11-11 03:22:39","400","8044.9272","653.08057"," ","2006-11-11 03:22:39","2006-11-11 03:29:19","8044.9272"
"SN2005CZ","F814W","26.49801635742188","94.52797700000001","2006-11-11 03:22:39","2006-11-11 03:22:39","400","8044.9272","653.08057"," ","2006-11-11 03:22:39","2006-11-11 03:29:19","8044.9272"
"SN2005CZ","F814W","25.49736404418945","94.530838","2006-11-11 03:31:35","2006-11-11 03:31:35","400","8044.9272","653.08057"," ","2006-11-11 03:31:35","2006-11-11 03:38:15","8044.9272"
"SN2005CZ","F814W","25.49736404418945","94.530838","2006-11-11 03:31:35","2006-11-11 03:31:35","400","8044.9272","653.08057"," ","2006-11-11 03:31:35","2006-11-11 03:38:15","8044.9272"
"SN2005CZ","F814W","23.38115882873535","94.533585","2006-11-11 03:40:51","2006-11-11 03:40:51","400","8044.9272","653.08057"," ","2006-11-11 03:40:51","2006-11-11 03:47:31","8044.9272"
"SN2005CZ","F814W","23.38115882873535","94.533585","2006-11-11 03:40:51","2006-11-11 03:40:51","400","8044.9272","653.08057"," ","2006-11-11 03:40:51","2006-11-11 03:47:31","8044.9272"
"SN2005CZ","F814W","22.94004821777344","94.536247","2006-11-11 03:49:47","2006-11-11 03:49:47","400","8044.9272","653.08057"," ","2006-11-11 03:49:47","2006-11-11 03:56:27","8044.9272"
"SN2005CZ","F814W","22.94004821777344","94.536247","2006-11-11 03:49:47","2006-11-11 03:49:47","400","8044.9272","653.08057"," ","2006-11-11 03:49:47","2006-11-11 03:56:27","8044.9272"
